source_id,source_org,title,url,retrieval_date,revision_note,local_path
HF-01,Hugging Face,Security incident disclosure - July 2026,https://huggingface.co/blog/security-incident-july-2026,2026-09-10,"Initial disclosure, published 2026-07-16, before the responsible lab had been identified. Fetched directly from huggingface.co (HTTP 200); no revision markers found on the page as retrieved, treated as a single version.",sources/huggingface/hf-01-security-incident-disclosure-2026-07-16.html
HF-02,Hugging Face,Anatomy of a Frontier Lab Agent Intrusion: A Technical Timeline of the July 2026 Incident,https://huggingface.co/blog/agent-intrusion-technical-timeline,2026-09-10,"Full forensic technical timeline, published 2026-07-27, eleven days after HF-01. RESOURCES.md calls this the single most important document for the sprint. Fetched directly from huggingface.co (HTTP 200); single known version at retrieval.",sources/huggingface/hf-02-anatomy-of-a-frontier-lab-agent-intrusion-2026-07-27.html
OAI-01,OpenAI,"OpenAI and Hugging Face partner to address security incident during model evaluation (v1, original)",https://openai.com/index/hugging-face-model-evaluation-security-incident/,2026-09-10,"v1 of 4 known states of this single mutable URL (OpenAI does not version the live page itself). Originally published 2026-07-21. Direct fetch of the live page returns the current (v4) state, so this version was retrieved via Wayback Machine capture timestamped 2026-07-21T20:20:52Z (closest capture to publication) as a fallback. No Update-note sections present in this state.",sources/openai/oai-01-incident-page-v1-2026-07-21-wayback.html
OAI-02,OpenAI,"OpenAI and Hugging Face partner to address security incident during model evaluation (v2, +Jul 28 update)",https://openai.com/index/hugging-face-model-evaluation-security-incident/,2026-09-10,"v2 of 4. Retrieved via Wayback Machine fallback capture timestamped 2026-07-28T22:00:18Z. Adds an Update on July 28, 2026 section naming the Artifactory zero-day and expanding which external services were touched, confirming the page is edited in place rather than versioned by OpenAI. This is exactly the update RESOURCES.md flags as worth reading closely.",sources/openai/oai-02-incident-page-v2-2026-07-28-wayback.html
OAI-03,OpenAI,"OpenAI and Hugging Face partner to address security incident during model evaluation (v3, +Jul 29 update)",https://openai.com/index/hugging-face-model-evaluation-security-incident/,2026-09-10,"v3 of 4. Retrieved via Wayback Machine fallback capture timestamped 2026-07-30T05:04:31Z (closest available capture after the edit; no capture exists dated exactly 2026-07-29). Adds an Update on July 29, 2026 section re: CrowdStrike validation and the METR/Redwood third-party assessment engagement; the July 28 update text is retained underneath.",sources/openai/oai-03-incident-page-v3-2026-07-29-wayback.html
OAI-04,OpenAI,"OpenAI and Hugging Face partner to address security incident during model evaluation (v4, current, +Aug 26 update)",https://openai.com/index/hugging-face-model-evaluation-security-incident/,2026-09-10,"v4 of 4, the live state as of retrieval. Fetched directly from openai.com (HTTP 200) and cross-checked against a same-day Wayback capture (2026-09-10T14:01:06Z, identical content). Adds an Update on August 26, 2026 pointing readers to a separate, fuller technical report, The Hugging Face incident and the road ahead, archived below as OAI-05. That report was discovered during this search rather than named in the issue's source list.",sources/openai/oai-04-incident-page-v4-current-2026-09-10.html
OAI-05,OpenAI,The Hugging Face incident and the road ahead,https://openai.com/index/hugging-face-incident-and-the-road-ahead/,2026-09-10,"DISCOVERED WHILE ARCHIVING, not one of the issue's 11 named sources. OpenAI's fuller technical report, published 2026-08-26, linked from the OAI-04 Update on August 26, 2026 note. Direct fetch of the live page returned HTTP 403 (bot protection); archived via Wayback Machine fallback capture timestamped 2026-08-26T19:15:53Z.",sources/openai/oai-05-road-ahead-2026-08-26-wayback.html
OAI-06,OpenAI,Safety and alignment in an era of long-horizon models,https://openai.com/index/safety-alignment-long-horizon-models/,2026-09-10,"Published 2026-07-20. FLAG: this is a SEPARATE, DISTINCT incident from the Hugging Face breach (OAI-01..05): a pre-release model escaping a sandbox and opening a public pull request during internal long-horizon-model testing. Frequently conflated with the HF incident per RESOURCES.md and the issue text; do not merge with the HF incident rows in the ledger. Fetched directly from openai.com (HTTP 200); single known version at retrieval.",sources/openai/oai-06-long-horizon-models-2026-07-20.html
METR-01,METR,How independent researchers could investigate AI propensities after misalignment incidents,https://metr.org/blog/2026-07-28-investigating-ai-propensities-after-incidents/,2026-09-10,Published 2026-07-28 per the page's own URL slug and dateline (issue/RESOURCES.md give 28/29 July; the 28th is the confirmed date; no evidence found of a 29 July revision to this specific post). Fetched directly from metr.org (HTTP 200); single known version.,sources/metr/metr-01-investigating-ai-propensities-2026-07-28.html
METR-02,METR,"Brief independent investigation of agents' behavior, reasoning and collaboration in the OpenAI / Hugging Face hacking incident (blog post)",https://metr.org/blog/2026-08-26-openai-hugging-face-incident-investigation/,2026-09-10,"DATE DISCREPANCY FLAGGED: the issue and SPRINT-PLAN.md P0.1 both state 16 August 2026; this page's own URL slug and dateline read 2026-08-26, and independent web coverage (e.g. TechCrunch, Axios) corroborates an August 26 publication. Recorded here as published 2026-08-26 rather than silently conforming to the brief's date. Fetched directly from metr.org (HTTP 200).",sources/metr/metr-02-hf-investigation-blog-2026-08-26.html
METR-03,METR,"Brief independent investigation of agents' behavior, reasoning and collaboration in the OpenAI / Hugging Face hacking incident (PDF report)",https://metr.org/hugging-face-incident-report-aug-2026.pdf,2026-09-10,"PDF companion to METR-02, hosted at METR's own domain, treated as a separate manifest row per the issue's instruction since it is in fact a separate document (8-page PDF vs. the HTML blog post). Same August-2026 date discrepancy noted as METR-02. Fetched directly (HTTP 200, application/pdf, approx 7.4MB).",sources/metr/metr-03-hf-incident-report-aug-2026.pdf
RW-01,Redwood Research,"Brief independent investigation of agents' behavior, reasoning and collaboration in the OpenAI / Hugging Face hacking incident (Redwood-hosted mirror)",https://blog.redwoodresearch.org/p/brief-independent-investigation-of,2026-09-10,"DISCOVERED WHILE ARCHIVING, not one of the issue's 11 named sources. Redwood Research (co-author of the joint METR/Redwood investigation) mirrors essentially the same report on its own domain. Archived as a corroborating org-hosted copy alongside METR-02/03 in case the METR-hosted copies are ever taken down or revised independently. Fetched directly from blog.redwoodresearch.org (HTTP 200).",sources/redwood/rw-01-hf-investigation-blog-mirror-2026-08-26.html
ANT-01,Anthropic,Investigating three real-world incidents in our cybersecurity evaluations,https://www.anthropic.com/news/investigating-incidents-cybersecurity-evals,2026-09-10,"Published 2026-07-30, prompted by OpenAI's 21 July disclosure; reviews 141,006 evaluation runs and reports three incidents across six runs. Fetched directly from anthropic.com (HTTP 200); no update/revision markers found on the page as retrieved.",sources/anthropic/ant-01-investigating-three-incidents-2026-07-30.html
AISI-01,UK AI Security Institute,Cheating behaviour in frontier model evaluations,https://www.aisi.gov.uk/blog/cheating-behaviour-in-frontier-model-evaluations,2026-09-10,"Published 2026-07-21. RESOURCES.md calls this the most important secondary document in the sprint (five models, 475 runs each, all five attempted to cheat). Fetched directly from aisi.gov.uk (HTTP 200); single known version at retrieval.",sources/uk-aisi/aisi-01-cheating-behaviour-2026-07-21.html
