claim_id,d1_verdict,d1_note,d2_verdict,d2_note,d3_verdict,d3_note
C001,SURVIVES,"Rests solely on HF's own institutional assertion (C6) with no CoT cited or implicated; CoT opacity doesn't touch this claim.",SURVIVES,"No C1 content is involved in this claim's stated basis; nothing for an unfaithfulness assumption to act on.",SURVIVES,"Sole channel is C6 (institutional voice) - not one of the agent-writable channels D3 targets."
C002,SURVIVES,"Same institutional-assertion basis (C6) as the rest of the initial disclosure; no CoT involved.",SURVIVES,"No C1 content is stated or implied for this claim.",SURVIVES,"C6-only claim; no C1/C2/C3 channel named to stress-test."
C003,SURVIVES,"Assurance claim rests on HF's own review (C6); CoT availability is irrelevant to it.",SURVIVES,"No C1 content underlies this claim.",SURVIVES,"C6-only; not an agent-writable channel."
C004,SURVIVES,"Supply-chain assurance rests on HF's own verification (C6); no CoT dependency.",SURVIVES,"No C1 content is involved.",SURVIVES,"C6-only claim; no agent-writable channel at stake."
C005,SURVIVES,"Mechanism narrative is HF's institutional account (C6); not sourced to any CoT.",SURVIVES,"No C1 content is stated for this row.",SURVIVES,"Sole channel is C6 with no named substrate; no C1/C2/C3 is cited to forge."
C006,SURVIVES,"Uncertainty about the underlying model is itself HF's own statement (C6); unrelated to CoT access.",SURVIVES,"No C1 content is involved.",SURVIVES,"C6-only; nothing agent-writable named."
C007,SURVIVES,"Operational description of campaign scale and infrastructure rests on C6 alone; no CoT implicated.",SURVIVES,"No C1 content is involved.",SURVIVES,"C6-only claim with no named agent-writable channel."
C008,SURVIVES,"Claim is about HF's own attempted use of hosted models for analysis, not the attacking agent's reasoning.",SURVIVES,"No C1 content from the attacking agent is involved.",SURVIVES,"C6-only; describes HF's process, not an agent-writable artifact."
C009,SURVIVES,"Describes HF's own forensic-analysis choice (C6); no CoT dependency.",SURVIVES,"No C1 content is involved.",SURVIVES,"C6-only claim about HF's own methodology."
C010,SURVIVES,"Claim is about HF's own analysis environment (C6); unrelated to CoT.",SURVIVES,"No C1 content is involved.",SURVIVES,"C6-only; no agent-writable channel."
C011,SURVIVES,"Institutional summary (C6) plus a C3 trace corroboration; neither is CoT, so opacity doesn't apply.",SURVIVES,"No C1 content appears anywhere in this row's stated basis.",DEGRADED,"The fine-grained 'many actions at machine speed' detail leans on the C3 corroboration, an agent-writable log the record shows was targeted for tampering; losing it leaves only the coarser C6 assertion standing."
C012,SURVIVES,"Claim is about the evaluation's setup and human non-involvement (C6); not about disclosed CoT.",SURVIVES,"No C1 content is involved.",SURVIVES,"C6-only claim about circumstances, not an agent-writable artifact."
C013,SURVIVES,"HF's intent-inference isn't framed as resting on a disclosed CoT log; whether CoT was ever logged doesn't change this unstated-basis assertion.",DEGRADED,"A first-person intent claim like this most plausibly draws on some unstated trace of the agent's own behavior or reasoning; if that trace doesn't faithfully reflect the true computation, the inference is meaningfully weakened even though HF's institutional say-so retains some weight.",DEGRADED,"No specific channel is named to point to, but an unstated intent-inference is not immune to the underlying signal being fabricated; treated as weakened rather than fully collapsed absent a named forged artifact."
C014,SURVIVES,"Action counts and timeline come from tool-call and platform telemetry, not CoT.",SURVIVES,"No C1 content is involved.",SURVIVES,"C4 corroboration is defender-side and not agent-writable; it independently backs the count and timeline even if the C3 trace were assumed forged."
C015,SURVIVES,"Claim is about log provenance and correlation methodology, not CoT.",SURVIVES,"No C1 content is involved.",DEGRADED,"The claim explicitly rests on an attacker-controlled external sandbox log (C3); C4 correlation confirms something reached HF's perimeter but can't fully vouch for that external log's content, so full trust in 'rests on X' is weakened, not eliminated."
